hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
4ec25b49f4,Abhishek_1,4,Do not change any code.,0,0,4,0,0,0,,,,,,,109.700846,False,False,,False,False,
e60414644c,Abhishek_1,4,overlap problem,4,0,0,0,0,0,0,0,,,,,33.72142625,False,False,,False,False,
c8e98eaf2b,Abhishek_1,4,new feature,0,0,0,4,0,0,,,,,,,75.51658511,False,False,,False,False,
e7b060460f,Abhishek_1,4,new feature,0,0,0,4,0,0,,,,,,,26.63093591,False,False,,False,False,
f0b6d3cc29,Abhishek_1,4,bug related to delay during the reset process.,0,4,0,0,0,0,,,,,,,28.13308072,False,False,,False,False,
d6f8168e43,Abhishek_1,4,removing warning,0,4,0,0,0,0,,,,,,,44.89285779,False,False,,False,False,
1cec8bbc17,Abhishek_1,4,preventing,0,4,0,0,0,0,,,,,,,23.54838276,False,False,,False,False,
1ac7fd8159,Abhishek_1,4,The issue where important performance information might be lost due to the lack of support for the new LBR format V7. Also it refactors the code.,0,0,0,4,0,0,,,,,,,48.84340906,False,False,,False,False,
afb8d5f431,Abhishek_1,4,preventing,0,4,0,0,0,0,,,,,,,45.64710188,False,False,,False,False,
e52432e164,Abhishek_1,4,addresses warning,0,4,0,0,0,0,,,,,,,169.4337363,False,False,,False,False,False
abba345311,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,35.18326998,False,False,,False,False,False
ed482dc8c7,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,299.456702,False,False,,False,False,False
7cbeeb0553,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,96.79543304,False,False,,False,False,False
11c2bf4a20,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,126.259804,False,False,,False,False,False
65ea840afd,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,127.5562322,False,False,,False,False,False
647df0d41b,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,26.26898384,False,False,,False,False,False
ec80906b0f,Abhishek_1,4,BFC,4,0,0,0,0,0,0,0,,,,,68.04583979,False,False,,False,False,False
dca4f5fdbc,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,62.78377199,False,False,,False,False,False
0a3a4b9d2b,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,31.36243773,False,False,,False,False,False
0f12a22f37,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,23.86898732,False,False,,False,False,False
2703c16c75,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,28.35416913,False,False,,False,False,False
ad72c3c3f6,Abhishek_1,4,BFC,4,0,0,0,0,0,0,0,,,,,20.44096208,False,False,,False,False,False
1299a129a9,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,22.5759151,False,False,,False,False,False
9f92c20279,Abhishek_1,4,BFC,4,0,0,0,0,0,0,0,,,,,52.56529808,False,False,,False,False,False
302e9edd54,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,26.78523898,False,False,,False,False,False
3470079687,Abhishek_1,4,bfc,4,0,0,0,0,0,0,0,,,,,30.90817404,False,False,,False,False,False
a382f8fee4,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,26.43182111,False,False,,False,False,False
1c33f8508b,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,22.79807997,False,False,,False,False,False
6cc2714e85,Abhishek_1,4,BFC,4,0,0,0,0,0,0,0,,,,,30.49741817,False,False,,False,False,False
9b392e0e0b,Abhishek_1,4,pfc,0,0,4,0,0,0,,,,,,,19.61242485,False,False,,False,False,False
d9edc4bc67,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,23.61826992,False,False,,False,False,False
fd8b330ce1,Abhishek_1,4,prc,0,0,4,0,0,0,,,,,,,37.7763083,False,False,,False,False,False
42da167bbd,Abhishek_1,4,prc,0,0,4,0,0,0,,,,,,,20.93154097,False,False,,False,False,False
30d024b505,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,23.76765776,False,False,,False,False,False
cff35798fa,Abhishek_1,4,bfc,4,0,0,0,0,0,0,0,,,,,27.46999598,False,False,,False,False,False
dd2319c618,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,141.44857,False,False,,False,False,False
f9cdf41306,Abhishek_1,4,bfc,4,0,0,0,0,0,0,0,,,,,21.41778374,False,False,,False,False,False
9a10064f56,Abhishek_1,4,nfc,0,0,0,4,0,0,,,,,,,18.53933001,False,False,,False,False,False
0301bcd599,Abhishek_1,4,prc,0,0,4,0,0,0,,,,,,,93.38316393,False,False,,False,False,False
bdf240188b,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,20.72413898,False,False,,False,False,False
1b929c02af,Abhishek_1,4,prc,0,0,4,0,0,0,,,,,,,19.6565578,False,False,,False,False,False
e92a216d16,Abhishek_1,4,bfc,4,0,0,0,0,0,0,0,,,,,38.47257805,False,False,,False,False,False
7a70d9a1cf,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,26.84064102,False,False,,False,False,False
09e7af76db,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,17.9761827,False,False,,False,False,False
719ca37972,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,20.68752003,False,False,,False,False,False
0c9ee5ba75,Abhishek_1,4,prc,0,0,4,0,0,0,,,,,,,29.23305202,False,False,,False,False,False
a8db854be2,Abhishek_1,4,bpc,0,4,0,0,0,0,,,,,,,22.38147998,False,False,,False,False,False
8094029330,Abhishek_1,4,BPC,0,4,0,0,0,0,,,,,,,21.11202931,False,False,,False,False,False
